Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,Balls Bowled,Runs Conceded,Economy,Wickets,Ct_St,Run Outs,Matches Played
1,Aaron Finch,MI,AUS,23,33,69.7,4,0,10,0,0,-,0,0,0,3
2,AB de Villiers,RCB,SA,513,293,175.1,60,22,133,0,0,-,0,8,1,16
3,Abu Nechim,RCB,IND,10,5,200,2,0,5,72,128,10.7,1,0,0.5,3
4,Aditya Tare ,MI,IND,14,17,82.4,1,0,7,0,0,-,0,1,0,2
5,Ajinkya Rahane,RR,IND,540,413,130.8,53,13,91,0,0,-,0,3,1.5,14
6,Albie Morkel,DD,SA,86,65,132.3,9,2,73,72,109,9.1,3,1,0,4
7,Ambati Rayudu ,MI,IND,281,193,145.6,18,16,53,0,0,-,0,9,0,15
8,Amit Mishra,DD,IND,8,12,66.7,0,0,4,241,310,7.7,9,2,0,12
9,Andre Russell,KKR,WI,326,169,192.9,35,19,66,244,324,8,14,6,0,13
10,Angelo Mathews,DD,SL,144,104,138.5,12,6,28,180,246,8.2,7,4,0,11
11,Ankit Sharma,RR,IND,7,6,116.7,1,0,7,84,114,8.1,3,2,0,4
12,Anureet Singh,KXI,IND,18,31,58.1,0,1,10,310,465,9,15,4,1,14
13,Ashish Nehra,CSK,IND,1,7,14.3,0,0,1,372,449,7.2,22,3,0.5,16
14,Ashish Reddy,SRH,IND,73,46,158.7,3,5,22,36,50,8.3,3,1,1,6
15,Ashok Dinda,RCB,IND,0,0,-,0,0,0,30,62,12.4,0,1,0,2
16,Axar Patel,KXI,IND,206,174,118.4,13,8,40,280,392,8.4,13,7,2,14
17,Azhar Mahmood,KKR,PAK,6,7,85.7,1,0,6,18,41,13.7,0,0,0.5,1
18,Beuran Hendricks,KXI,AUS,1,2,50,0,0,1,78,109,8.4,5,2,0,4
19,Bhuvneshwar Kumar,SRH,IND,17,10,170,2,1,11,310,407,7.9,18,5,1,14
20,Bipul Sharma,SRH,IND,1,2,50,0,0,1,42,50,7.1,3,0,0.5,4
21,Brad Hogg,KKR,AUS,7,6,116.7,0,0,5,126,144,6.9,9,0,0,6
22,Brainder Sran,RR,IND,0,0,-,0,0,0,18,35,11.7,0,0,0,1
23,Brendon McCullum,CSK,NZ,436,280,155.7,51,23,100,0,0,-,0,2,0,14
24,C Gautam ,DD,IND,4,5,80,0,0,4,0,0,-,0,1,0,1
25,Chris Gayle,RCB,WI,491,333,147.4,39,38,117,12,15,7.5,0,1,0,14
26,Chris Morris,RR,SA,76,46,165.2,3,5,34,252,311,7.4,13,3,0,11
27,Corey Anderson,MI,NZ,114,97,117.5,11,6,55,24,33,8.3,1,1,0,4
28,Dale Steyn,SRH,SA,20,13,153.8,3,0,19,114,170,8.9,3,2,0,6
29,Darren Sammy,RCB,WI,13,18,72.2,0,0,7,18,25,8.3,0,1,0,2
30,David Miller,KXI,SA,357,266,134.2,21,21,89,0,0,-,0,7,0,13
31,David Warner ,SRH,AUS,562,359,156.5,65,21,91,0,0,-,0,8,0,14
32,David Wiese,RCB,SA,122,86,141.9,12,4,47,254,353,8.3,16,5,0,14
33,Deepak Hooda,RR,IND,151,95,158.9,6,11,54,91,129,8.5,1,1,0.5,14
34,Dhawal Kulkarni,RR,IND,4,11,36.4,0,0,3,210,277,7.9,13,5,0,11
35,Dinesh Karthik ,RCB,IND,141,117,120.5,15,4,28,0,0,-,0,18,3.5,16
36,Domnic Muthuswami,DD,IND,1,3,33.3,0,0,1,84,101,7.2,4,0,0,6
37,Dwayne Bravo,CSK,WI,195,148,131.8,22,5,62,314,426,8.1,26,13,2,17
38,Dwayne Smith,CSK,WI,399,335,119.1,52,16,62,12,17,8.5,1,9,0.5,16
39,Eoin Morgan,SRH,ENG,187,151,123.8,11,11,63,0,0,-,0,5,0,9
40,Faf du Plessis,CSK,SA,380,304,125,37,5,55,0,0,-,0,8,1,17
41,Gautam Gambhir ,KKR,IND,327,278,117.6,41,4,60,0,0,-,0,3,0.5,13
42,George Bailey ,KXI,AUS,259,190,136.3,22,7,61,0,0,-,0,1,1,13
43,Glenn Maxwell,KXI,AUS,145,112,129.5,13,8,43,60,97,9.7,2,2,0,11
44,Gurinder Sandhu,DD,IND,0,0,-,0,0,0,48,82,10.3,1,0,0,3
45,Gurkeerat Singh Mann,KXI,IND,35,39,89.7,3,1,15,54,66,7.3,3,1,0,5
46,Hanuma Vihari,SRH,IND,39,35,111.4,6,0,16,0,0,-,0,2,0.5,5
47,Harbhajan Singh,MI,IND,117,73,160.3,9,9,64,342,446,7.8,18,3,0,15
48,Hardik Pandya,MI,IND,112,62,180.6,9,8,61,102,176,10.4,1,7,0.5,9
49,Harshal Patel,RCB,IND,19,12,158.3,0,2,9,263,328,7.5,17,1,0.5,15
50,Imran Tahir,DD,SA,5,6,83.3,0,0,3,213,314,8.8,15,3,0,10
51,Iqbal Abdulla,RCB,IND,20,18,111.1,4,0,20,114,150,7.9,4,1,0,5
52,Ishant Sharma,SRH,IND,0,0,-,0,0,0,84,159,11.4,1,0,0,4
53,Ishwar Pandey,CSK,IND,0,0,-,0,0,0,186,223,7.2,11,2,0,10
54,Jagadeesha Suchith,MI,IND,48,32,150,4,2,34,234,337,8.6,10,8,0.5,13
55,James Faulkner,RR,AUS,144,109,132.1,12,5,46,270,426,9.5,8,4,0.5,13
56,Jasprit Bumrah,MI,IND,0,0,-,0,0,0,90,184,12.3,3,0,0,4
57,Jayant Yadav,DD,IND,0,0,-,0,0,0,42,29,4.1,2,1,0,3
58,Jaydev Unadkat,DD,IND,0,0,-,0,0,0,18,30,10,0,0,0,1
59,Jean-Paul Duminy ,DD,SA,414,315,131.4,27,20,78,102,126,7.4,8,8,0.5,14
60,Johan Botha,KKR,SA,31,15,206.7,5,1,17,60,81,8.1,1,4,0,4
61,Kane Williamson,SRH,NZ,31,27,114.8,1,1,26,0,0,-,0,2,0,2
62,Karanveer Singh,KXI,IND,11,16,68.8,1,0,5,84,157,11.2,1,1,1,4
63,Karn Sharma,SRH,IND,104,85,122.4,3,6,32,239,332,8.3,10,4,0,14
64,Karun Nair,RR,IND,181,145,124.8,18,5,61,0,0,-,0,3,0,14
65,KC Cariappa,KKR,IND,0,0,-,0,0,0,12,28,14,1,0,0,1
66,Kedar Jadhav,DD,IND,189,140,135,16,7,63,0,0,-,0,9,0.5,14
67,Kieron Pollard,MI,WI,419,256,163.7,28,28,70,76,120,9.5,3,9,1.5,16
68,Lasith Malinga,MI,SL,6,10,60,1,0,6,360,444,7.4,24,2,1,15
69,Lendl Simmons,MI,WI,540,441,122.4,56,21,71,0,0,-,0,6,1,13
70,Lokesh Rahul,SRH,IND,142,126,112.7,8,5,44,0,0,-,0,1,1,9
71,Manan Vohra,KXI,IND,82,81,101.2,4,5,39,0,0,-,0,2,0,7
72,Mandeep Singh,RCB,IND,157,98,160.2,16,7,54,0,0,-,0,7,0,14
73,Manish Pandey,KKR,IND,225,184,122.3,22,7,40,0,0,-,0,5,1.5,13
74,Manoj Tiwary,DD,IND,57,56,101.8,8,1,32,0,0,-,0,2,0,5
75,Manvinder Bisla,RCB,IND,37,30,123.3,6,1,20,0,0,-,0,1,0.5,2
76,Marchant de Lange,MI,SA,0,0,-,0,0,0,24,30,7.5,0,0,0,1
77,Mayank Agarwal,DD,IND,213,177,120.3,23,7,68,0,0,-,0,3,0,10
78,Michael Hussey,CSK,AUS,77,70,110,5,3,56,0,0,-,0,1,0,4
79,Mitchell Johnson,KXI,AUS,31,36,86.1,1,1,13,215,336,9.4,9,0,0,9
80,Mitchell McClenaghan,MI,NZ,13,6,216.7,0,2,12,282,386,8.2,18,0,0.5,12
81,Mitchell Starc,RCB,AUS,11,14,78.6,1,0,9,258,291,6.8,20,7,0,13
82,Mohit Sharma,CSK,IND,28,18,155.6,1,2,21,342,481,8.4,14,5,0,16
83,Moises Henriques,SRH,AUS,287,211,136,19,13,74,150,158,6.3,11,1,0,9
84,Morne Morkel,KKR,SA,4,3,133.3,0,0,4,168,206,7.4,10,1,0.5,7
85,MS Dhoni,CSK,IND,372,305,122,27,17,53,0,0,-,0,11,3.5,17
