Sl.no,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,Balls Bowled,Runs Conceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age
1,Aaron Finch,GL,AUS,393,299,131.4,45,11,74,0,0,-,0,3,0,13,29
2,AB de Villiers,RCB,SA,687,407,168.8,57,37,129,0,0,-,0,19,0,16,32
3,Abhimanyu Mithun,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26
4,Abu Nechim,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,27
5,Adam Milne,RCB,NZ,0,0,-,0,0,0,24,43,10.8,1,1,0,1,24
6,Adam Zampa,RPS,AUS,0,1,0,0,0,0,102,115,6.8,12,0,0,5,24
7,Aditya Tare,SH,IND,8,15,53.3,1,0,8,0,0,-,0,1,0,3,28
8,Ajinkya Rahane,RPS,IND,480,379,126.6,54,9,74,0,0,-,0,6,0.5,14,28
9,Akhil Herwadkar,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,21
10,Akshay Karnewar,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24
11,Akshay Wakhare,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,31
12,Akshdeep Nath,GL,IND,20,27,74.1,1,0,12,0,0,-,0,0,0,4,23
13,Albie Morkel,RPS,SA,16,9,177.8,0,2,16,30,66,13.2,2,1,0,2,35
14,Ambati Rayudu,MI,IND,334,278,120.1,28,12,65,0,0,-,0,4,0.5,13,31
15,Amit Mishra,GL,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24
16,Amit Mishra,DD,IND,4,14,28.6,1,0,3,276,344,7.5,13,3,1,14,24
17,Andre Russell,KKR,WI,188,114,164.9,10,15,39,219,291,8,15,2,1.5,12,28
18,Andrew Tye,GL,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,29
19,Ankit Rajpoot,KKR,IND,0,0,-,0,0,0,66,98,8.9,3,0,0.5,4,22
20,Ankit Sharma,RPS,IND,3,3,100,0,0,3,66,84,7.6,1,1,0,3,25
21,Ankush Bains,RPS,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,20
22,Anureet Singh,KXI,IND,0,0,-,0,0,0,36,43,7.2,0,0,0,2,28
23,Armaan Jaffer,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,17
24,Ashish Nehra,SH,IND,1,1,100,0,0,1,156,199,7.7,9,1,0,8,37
25,Ashish Reddy,SH,IND,47,29,162.1,2,4,32,23,39,10.2,1,1,0,4,25
26,Ashok Dinda,RPS,IND,0,0,-,0,0,0,183,231,7.6,11,0,0,9,32
27,Axar Patel,KXI,IND,111,77,144.2,4,8,36,287,388,8.1,13,2,0,14,22
28,Baba Aparajith,RPS,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22
29,Barinder Sran,SH,IND,4,4,100,0,0,2,297,413,8.3,14,2,1.5,14,23
30,Ben Cutting,SH,AUS,65,34,191.2,4,6,39,67,80,7.2,5,1,0,4,29
31,Bhuvneshwar Kumar,SH,IND,43,27,159.3,6,1,21,396,490,7.4,23,6,1,17,26
32,Bipul Sharma,SH,IND,51,25,204,1,5,27,84,121,8.6,3,2,0,7,33
33,Brad Hogg,KKR,AUS,0,0,-,0,0,0,96,142,8.9,4,3,0.5,5,45
34,Brendon McCullum,GL,NZ,354,262,135.1,38,16,60,0,0,-,0,0,1,16,35
35,Carlos Brathwaite,DD,WI,83,38,218.4,6,8,34,139,189,8.2,7,3,1,8,28
36,Chama Milind,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22
37,Chris Gayle,RCB,WI,227,150,151.3,17,21,76,60,63,6.3,2,4,0,10,37
38,Chris Jordan,RCB,ENG,3,4,75,0,0,3,168,258,9.2,11,4,0,9,28
39,Chris Lynn,KKR,AUS,25,22,113.6,0,1,15,0,0,-,0,1,0,2,26
40,Chris Morris,DD,SA,195,109,178.9,15,12,82,264,308,7,13,8,2.3,12,29
41,Colin Munro,KKR,NZ,30,30,100,3,0,16,12,15,7.5,0,2,0,4,29
42,Corey Anderson,MI,NZ,0,0,-,0,0,0,0,0,-,0,0,0,0,25
43,Dale Steyn,GL,SA,1,2,50,0,0,1,12,17,8.5,0,0,0,1,33
44,David Miller,KXI,SA,161,131,122.9,11,4,31,0,0,-,0,10,2,14,27
45,David Warner,SH,AUS,848,560,151.4,88,31,93,0,0,-,0,4,0,17,29
46,David Wiese,RCB,SA,5,4,125,0,0,5,24,49,12.3,0,1,0,1,31
47,Deepak Chahar,RPS,IND,0,0,-,0,0,0,30,41,8.2,0,1,0,2,24
48,Deepak Hooda,SH,IND,144,121,119,9,5,34,78,97,7.5,3,3,1,17,21
49,Deepak Punia,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23
50,Dhawal Kulkarni,GL,IND,27,16,168.8,3,0,10,294,364,7.4,18,2,0,14,27
51,Dinesh Karthik,GL,IND,335,266,125.9,38,3,53,0,0,-,0,14,1,16,31
52,Dwayne Bravo,GL,WI,99,82,120.7,11,1,22,336,494,8.8,17,6,1.5,15,33
53,Dwayne Smith,GL,WI,324,221,146.6,35,16,73,108,153,8.5,8,7,0,12,33
54,Eklavya Dwivedi,GL,IND,24,14,171.4,2,2,19,0,0,-,0,2,0,4,28
