Sl.no,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,Balls Bowled,Runs Conceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age,Type
1,Aaron Finch,GL,AUS,299,180,166.1,25,19,72,0,0,-,0,5,1,13,30,BAT
2,AB de Villiers,RCB,SA,216,163,132.5,12,16,89,0,0,-,0,6,0,9,33,BAT
3,Abhimanyu Mithun,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,27,Bowl
4,Adam Milne,RCB,NZ,7,12,58.3,0,0,5,84,134,9.6,3,4,0,4,25,Bowl
5,Adam Zampa,RPS,AUS,5,7,71.4,1,0,5,119,163,8.2,7,0,0,6,25,Bowl
6,Aditya Tare,DD,IND,18,23,78.3,3,0,18,0,0,-,0,0,0,3,29,WK
7,Ajinkya Rahane,RPS,IND,382,323,118.3,35,9,60,0,0,-,0,6,0.5,16,29,BAT
8,Akshdeep Nath,GL,IND,0,1,0,0,0,0,0,0,-,0,0,0,1,24,AR
9,Ambati Rayudu,MI,IND,91,78,116.7,7,3,63,0,0,-,0,3,0,5,32,BAT
10,Amit Mishra,DD,IND,49,52,94.2,2,2,13,233,343,8.8,10,3,0.5,14,25,Bowl
11,Andrew Tye,GL,AUS,53,30,176.7,4,3,25,126,141,6.7,12,0,0,6,30,Bowl
12,Angelo Mathews,DD,SL,32,27,118.5,2,1,31,30,56,11.2,0,2,0,3,30,AR
13,Aniket Choudhary,RCB,IND,25,20,125,1,1,15,101,144,8.6,5,0,0,5,27,Bowl
14,Ankit Bawne,DD,IND,12,12,100,1,0,12,0,0,-,0,0,0,1,24,BAT
15,Ankit Rajpoot,KKR,IND,4,7,57.1,1,0,4,84,107,7.6,4,1,0,5,23,Bowl
16,Ankit Sharma,RPS,IND,25,15,166.7,2,1,25,6,16,16,0,0,0,1,26,Bowl
17,Ankit Soni,GL,IND,7,9,77.8,0,1,7,109,144,7.9,2,1,0,7,#N/A,NA
18,Ankush Bains,RPS,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,21,WK
19,Anureet Singh,KXI,IND,15,12,125,2,0,15,12,26,13,0,0,0,1,29,Bowl
20,Armaan Jaffer,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,18,BAT
21,Asela Gunaratne,MI,SL,0,0,-,0,0,0,0,0,-,0,0,0,0,31,BAT
22,Ashish Nehra,SH,IND,0,0,-,0,0,0,127,197,9.3,8,1,0,6,38,Bowl
23,Ashok Dinda,RPS,IND,7,7,100,1,0,7,60,119,11.9,1,0,0.5,3,33,Bowl
