Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,BallsBowled,RunsConceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age
1,Aaron Finch,PWI,IND,456,336,135.7,54,16,67,24,49,12.3,1,2,0,14,26
2,AB de Villiers,BRC,SA,360,219,164.4,34,15,64,0,0,-,0,8,1,14,29
3,Abhimanyu Mithun,BRC,IND,2,2,100,0,0,2,24,37,9.3,1,0,0,1,23
4,Abhinav Mukund,BRC,IND,19,21,90.5,1,0,19,0,0,-,0,0,0,1,23
5,Abhishek Nayar,PWI,IND,66,73,90.4,5,0,25,48,59,7.4,2,1,0.5,11,29
6,Abu Nechim,MI,IND,0,0,-,0,0,0,42,45,6.4,3,1,0,2,24
7,Adam Gilchrist,KXI,IND,294,229,128.4,41,6,85,1,0,0,1,12,1,13,41
8,Aditya Tare,MI,IND,123,83,148.2,14,5,59,0,0,-,0,0,0,4,25
9,Aiden Blizzard,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,28
10,Ajantha Mendis,PWI,SL,2,4,50,0,0,2,72,78,6.5,2,0,0,3,28
11,Ajinkya Rahane,RR,IND,488,458,106.6,42,11,68,0,0,-,1,9,0.5,18,25
12,Ajit Agarkar,DD,IND,12,16,75,0,0,9,60,92,9.2,0,1,0,4,35
13,Ajit Chandila,RR,IND,4,6,66.7,0,0,4,150,156,6.2,6,4,0,8,29
14,Akila Dananjaya,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,19
15,Akshar Patel,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,19
16,Akshath Reddy,SH,IND,91,101,90.1,9,0,27,0,0,-,0,2,0.5,7,22
17,Albie Morkel,CSK,SA,36,27,133.3,2,2,23,126,147,7,5,1,1.5,7,31
18,Ali Murtaza,PWI,IND,5,4,125,1,0,5,60,94,9.4,3,1,0.5,3,23
19,Ambati Rayudu,MI,IND,228,195,116.9,18,4,34,0,0,-,0,8,0.5,18,27
20,Amit Mishra,SH,IND,89,96,92.7,9,0,30,372,394,6.4,21,2,0.5,17,30
21,Amit Singh,RR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,31
22,Amitoze Singh,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24
23,Anand Rajan,SH,IND,0,0,-,0,0,0,48,42,5.3,2,1,0,2,25
24,Andre Russell,DD,WI,11,14,78.6,0,0,7,42,68,9.7,0,1,0,3,25
25,Andrew McDonald,BRC,IND,0,2,0,0,0,0,12,17,8.5,1,0,0,1,31
26,Angelo Mathews,PWI,SL,172,139,123.7,5,10,40,186,240,7.7,5,5,0.4,11,26
27,Aniket Choudhary,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23
28,Ankeet Chavan,RR,IND,0,0,-,0,0,0,54,63,7,1,0,0,3,27
29,Ankit Rajpoot,CSK,IND,2,6,33.3,0,0,2,24,35,8.8,1,0,0,2,19
30,Ankit Sharma,SH,IND,0,0,-,0,0,0,12,17,8.5,0,1,0,1,21
31,Anustup Majumdar,PWI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,29
32,Aristh Singhvi,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,20
33,Arun Karthik,BRC,IND,41,38,107.9,3,1,19,0,0,-,0,11,1.5,12,27
34,Ashish Nehra,DD,IND,1,8,12.5,0,0,1,216,316,8.8,11,1,0,10,34
35,Ashish Reddy,SH,IND,125,96,130.2,8,5,36,40,70,10.5,3,7,0,12,22
36,Ashok Dinda,PWI,IND,9,11,81.8,1,0,6,294,465,9.5,16,3,1,13,29
37,Ashok Menaria,RR,IND,1,2,50,0,0,1,0,0,-,0,0,0,1,22
38,Azhar Mahmood,KXI,PAK,196,154,127.3,22,5,80,263,330,7.5,15,1,0,11,38
39,B Chipli,DD,IND,16,18,88.9,1,1,16,0,0,-,0,0,0,1,1
40,Baba Aparajith,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,19
41,Ben Hilfenhaus,CSK,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,30
42,Ben Laughlin,CSK,IND,4,9,44.4,0,0,4,42,71,10.1,1,0,0,2,30
43,Ben Rohrer,DD,IND,193,140,137.9,21,5,64,6,12,12,0,3,1.5,8,32
44,Bhargav Bhatt,KXI,IND,0,0,-,0,0,0,30,32,6.4,1,0,0,2,23
45,Bhuvneshwar Kumar,PWI,IND,52,71,73.2,3,1,24,342,371,6.5,13,2,0,16,22
46,Biplab Samantray,SH,IND,123,111,110.8,13,2,55,0,0,-,0,3,0.5,8,24
47,Bipul Sharma,KXI,IND,0,0,-,0,0,0,24,21,5.3,1,0,0,1,29
48,Brad Haddin,KKR,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,35
49,Brad Hodge,RR,AUS,293,218,134.4,27,9,54,6,3,3,0,6,1,17,38
50,Brad Hogg,RR,AUS,0,0,-,0,0,0,20,31,9.3,0,0,0,1,42
51,Brendon McCullum,KKR,NZ,6,7,85.7,1,0,6,0,0,-,0,1,0,1,31
52,Brett Lee,KKR,AUS,21,12,175,1,2,16,72,86,7.2,4,1,0,3,36
53,Cameron White,SH,AUS,209,191,109.4,18,7,52,12,16,8,1,10,1,13,29
54,Cheteshwar Pujara,BRC,IND,92,99,92.9,14,0,51,0,0,-,0,1,0,4,25
55,Chris Gayle,BRC,WI,708,453,156.3,57,51,175,24,40,10,3,3,0,16,33
56,Chris Lynn,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22
57,Chris Morris,CSK,IND,14,15,93.3,0,0,7,276,376,8.2,14,5,0,15,26
58,Christopher Barnwell,BRC,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26
59,Clint McKay,SH,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,30
60,Dale Steyn,SH,SA,53,36,147.2,5,2,18,407,384,5.7,19,3,1,17,29
61,Daniel Christian,BRC,AUS,6,15,40,0,0,4,36,55,9.2,0,1,0,2,29
62,Daniel Vettori,BRC,NZ,0,0,-,0,0,0,0,0,-,0,0,0,0,34
63,Darren Sammy,SH,WI,174,132,131.8,11,10,60,134,168,7.5,8,3,1,10,29
64,David Hussey,KXI,AUS,235,209,112.4,20,5,41,66,91,8.3,0,4,0,12,35
65,David Miller,KXI,AUS,418,254,164.6,28,24,101,0,0,-,0,8,0,12,24
66,David Warner,DD,AUS,410,323,126.9,41,14,77,0,0,-,0,6,1,16,26
67,Debabrata Das,KKR,IND,75,74,101.4,5,5,23,0,0,-,0,2,0.5,10,26
68,Dhawal Kulkarni,MI,IND,0,0,-,0,0,0,112,151,8.1,8,0,0,6,24
