Sl.no,Player's Name,Team,From,Run,Ball,Strike Rate,Six,Four,Highest Run Scored,Balls Bowled,Runs Scored,Economy,Wickets,Ct_St,Run Outs,Matches Played
1,RV Uthappa,KKR,IND,655,476,137.6,18,73,83,0,0,-,0,8,3.5,15
2,GJ Maxwell,KXI,AUS,552,293,188.4,36,48,95,66,132,12,1,8,0.5,15
3,SK Raina,CSK,IND,523,359,145.7,19,51,87,108,134,7.4,1,12,0.8,16
4,DR Smith,CSK,WI,566,416,136.1,34,50,79,60,95,9.5,4,5,0,16
5,DA Warner,SH,AUS,528,375,140.8,24,39,90,0,0,-,0,8,1,14
6,DA Miller,KXI,SA,445,298,149.3,21,34,66,0,0,-,0,12,0,15
7,V Sehwag,KXI,IND,448,305,146.9,18,55,122,0,0,-,0,5,0,16
8,Yuvraj Singh,BRC,IND,376,278,135.3,28,22,83,136,187,8.3,5,4,1.5,14
9,JP Duminy,DD,SA,410,305,134.4,20,22,67,198,240,7.3,3,2,0,14
10,Shakib Al Hasan,KKR,BAN,215,145,148.3,7,20,60,276,308,6.7,11,3,0,12
11,AB de Villiers,BRC,SA,395,249,158.6,24,26,89,0,0,-,0,6,0,14
12,SP Narine,KKR,WI,8,10,80,0,0,6,360,361,6,20,2,1,15
13,RA Jadeja,CSK,IND,146,110,132.7,5,9,36,326,443,8.2,19,4,0.3,16
14,MS Dhoni,CSK,IND,371,250,148.4,20,22,57,0,0,-,0,4,2,16
15,AR Patel,KXI,IND,62,60,103.3,1,6,42,372,384,6.2,17,6,0,16
16,RG Sharma,MI,IND,390,302,129.1,16,31,59,18,26,8.7,1,5,1.5,15
17,BB McCullum,CSK,NZ,405,333,121.6,19,32,71,0,0,-,0,6,1.5,14
18,LMP Simmons,MI,WI,394,291,135.4,14,43,100,18,34,11.3,1,2,0,8
19,B Kumar,SH,IND,1,4,25,0,0,1,319,354,6.7,20,2,1,14
20,SV Samson,RR,IND,339,273,124.2,17,25,74,0,0,-,0,7,3.5,13
21,AT Rayudu,MI,IND,361,287,125.8,8,31,68,0,0,-,0,6,1,15
22,KD Karthik,DD,IND,325,258,126,11,28,69,0,0,-,0,9,2,14
23,KK Nair,RR,IND,330,232,142.2,9,38,73,0,0,-,0,4,0.5,11
24,V Kohli,BRC,IND,359,294,122.1,14,26,73,0,0,-,0,7,0.5,14
25,F du Plessis ,CSK,SA,303,235,128.9,7,26,54,0,0,-,0,13,0.5,15
26,JP Faulkner,RR,AUS,181,94,192.6,16,8,41,258,419,9.7,11,2,1,13
27,MA Starc,BRC,AUS,85,84,101.2,0,9,29,322,402,7.5,14,9,0.5,14
28,R Ashwin,CSK,IND,45,45,100,0,4,14,359,437,7.3,16,1,1.5,16
29,S Dhawan,SH,IND,377,319,118.2,9,46,64,0,0,-,0,5,0,14
30,GJ Bailey,KXI,AUS,256,188,136.2,10,19,40,0,0,-,0,7,3.5,16
31,SR Watson,RR,AUS,240,196,122.4,14,19,51,126,165,7.9,7,3,0,13
32,Harbhajan Singh,MI,IND,28,25,112,2,2,10,330,356,6.5,14,3,0,14
