Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,4's,6's,Highest Run Scored,Balls  Bowled,Runs Scored,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age,Type
1,Aaron Finch,KXI,AUS,134,100,134,6,8,46,0,0,-,0,4,0,10,31,BAT
2,AB de Villiers,RCB,SA,480,275,174.5,39,30,90,0,0,-,0,6,0.5,12,34,BAT
3,Abhishek Sharma,DD,IND,63,33,190.9,3,5,46,0,0,-,0,1,0,3,18,AR
4,Aditya Tare,MI,IND,0,0,-,0,0,0,0,0,-,0,1,0,0,30,WK
5,Ajinkya Rahane,RR,IND,370,313,118.2,39,5,65,0,0,-,0,4,1,15,30,BAT
6,Akila Dananjaya,MI,SL,4,5,80,0,0,4,24,47,11.8,0,0,0,1,25,Bowl
7,Akshdeep Nath,KXI,IND,9,13,69.2,1,0,9,0,0,-,0,1,0,1,25,AR
8,Alex Hales,SRH,ENG,148,118,125.4,13,6,45,0,0,-,0,2,0,6,29,BAT
9,Ambati Rayudu,CSK,IND,602,402,149.8,53,34,100,0,0,-,0,2,0.5,16,33,BAT
10,Amit Mishra,DD,IND,1,2,50,0,0,1,222,264,7.1,12,0,0,10,26,Bowl
11,Andre Russell,KKR,WI,316,171,184.8,17,31,88,227,355,9.4,13,8,0,16,30,AR
12,Andrew Tye,KXI,AUS,32,38,84.2,2,1,14,336,448,8,24,5,0.5,14,31,Bowl
13,Aniket Choudhary,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,28,Bowl
14,Aniruddha Joshi,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,30,AR
15,Ankit Rajpoot,KXI,IND,11,18,61.1,1,0,8,157,223,8.5,11,2,0.5,8,24,Bowl
16,Ankit Sharma,RR,IND,0,0,-,0,0,0,6,11,11,0,0,0,1,27,Bowl
17,Anukul Roy,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,19,AR
18,Anureet Singh,RR,IND,3,4,75,0,0,3,24,42,10.5,1,1,0,3,30,Bowl
19,Apoorv Wankhade,KKR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26,BAT
20,Aryaman Birla,RR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,21,AR
21,Asif KM,CSK,IND,0,0,-,0,0,0,36,75,12.5,3,0,0,2,25,Bowl
22,Avesh Khan,DD,IND,0,0,-,0,0,0,114,204,10.7,4,3,0,6,21,Bowl
23,Axar Patel,KXI,IND,80,69,115.9,3,4,19,156,218,8.4,3,2,0,9,24,AR
24,Barinder Sran,KXI,IND,3,7,42.9,0,0,2,132,229,10.4,4,2,0,6,25,Bowl
25,Basil Thampi,SRH,IND,3,6,50,0,0,3,61,114,11.2,5,2,0,4,25,Bowl
26,Ben Cutting,MI,AUS,96,58,165.5,5,8,37,102,168,9.9,2,7,0,9,31,AR
27,Ben Dwarshuis,KXI,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,24,Bowl
28,Ben Laughlin,RR,AUS,1,4,25,0,0,1,125,211,10.1,9,1,0,7,36,Bowl
29,Ben Stokes,RR,ENG,196,161,121.7,13,6,45,222,303,8.2,8,6,0,13,27,AR
30,Bhuvneshwar Kumar,SRH,IND,13,16,81.3,1,0,7,277,354,7.7,9,2,0,12,28,Bowl
31,Billy Stanlake,SRH,AUS,5,2,250,1,0,5,96,130,8.1,5,0,0,4,23,Bowl
32,Bipul Sharma,SRH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,35,Bowl
33,Brendon McCullum,RCB,NZ,127,88,144.3,16,6,43,0,0,-,0,1,0,6,37,BAT
34,Cameron Delport,KKR,SA,0,0,-,0,0,0,0,0,-,0,0,0,0,29,AR
35,Carlos Brathwaite,SRH,WI,75,48,156.3,1,8,43,61,94,9.2,5,2,0.5,4,30,AR
36,Chaitanya Bishnoi,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24,AR
37,Chris Gayle,KXI,WI,368,252,146,30,27,104,0,0,-,0,2,0,11,39,BAT
38,Chris Jordan,SRH,ENG,0,0,-,0,0,0,24,31,7.8,0,0,0,1,30,AR
39,Chris Lynn,KKR,AUS,491,377,130.2,56,18,74,0,0,-,0,3,0,16,28,BAT
40,Chris Morris,DD,SA,46,26,176.9,3,2,27,84,143,10.2,3,2,0,4,31,AR
41,Chris Woakes,RCB,ENG,17,19,89.5,1,1,11,110,190,10.4,8,1,0.5,5,29,AR
42,Colin de Grandhomme,RCB,NZ,131,84,156,4,13,40,90,129,8.6,2,3,0,9,32,AR
43,Colin Munro,DD,NZ,63,41,153.7,7,4,33,0,0,-,0,2,0,5,31,AR
44,Corey Anderson,RCB,NZ,17,22,77.3,0,1,15,52,115,13.3,3,0,0.5,3,27,AR
45,Daniel Christian,DD,AUS,26,33,78.8,0,1,13,71,101,8.5,4,0,0,4,35,AR
46,Darcy Short,RR,AUS,115,99,116.2,11,5,44,18,19,6.3,1,2,0,7,28,AR
47,David Miller,KXI,SA,74,64,115.6,3,2,26,0,0,-,0,2,0,3,29,BAT
48,David Warner,SRH,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,31,BAT
49,David Willey,CSK,#N/A,0,0,-,0,0,0,60,95,9.5,2,2,1,3,#N/A,NA
50,Deepak Chahar,CSK,IND,50,29,172.4,1,4,39,229,278,7.3,10,1,0,12,26,Bowl
51,Deepak Hooda,SRH,IND,86,81,106.2,2,3,32,18,24,8,0,5,0,9,23,BAT
52,Dhawal Kulkarni,RR,IND,6,7,85.7,0,0,3,119,188,9.5,4,1,0,8,29,Bowl
53,Dhruv Shorey,CSK,IND,8,9,88.9,0,1,8,0,0,-,0,1,0,1,26,AR
54,Dinesh Karthik,KKR,IND,498,337,147.8,49,16,52,0,0,-,0,19,2,16,33,WK
55,Dushmantha Chameera,RR,SL,0,0,-,0,0,0,0,0,-,0,0,0,0,26,Bowl
56,Dwayne Bravo,CSK,WI,141,91,154.9,8,10,68,321,533,10,14,9,0.5,16,35,AR
57,Evin Lewis,MI,WI,382,276,138.4,32,24,65,0,0,-,0,3,0.5,13,26,BAT
58,Faf du Plessis,CSK,SA,162,129,125.6,17,6,67,0,0,-,0,1,0,6,34,BAT
59,Gautam Gambhir,DD,IND,85,88,96.6,8,1,55,0,0,-,0,1,0,6,37,BAT
60,Glenn Maxwell,DD,AUS,169,120,140.8,14,9,47,96,132,8.3,5,4,0,12,29,AR
61,Gowtham Krishnappa,RR,IND,126,64,196.9,9,9,33,240,312,7.8,11,10,0.5,15,19,Bowl
62,Gurkeerat Singh,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,28,AR
63,Harbhajan Singh,CSK,IND,29,36,80.6,3,1,19,191,270,8.5,7,4,0,13,38,Bowl
64,Hardik Pandya,MI,IND,260,195,133.3,20,11,50,256,381,8.9,18,8,2.3,13,25,AR
65,Harshal Patel,DD,IND,60,33,181.8,1,6,36,105,167,9.5,7,0,0,5,27,Bowl
66,Heinrich Klaasen,RR,SA,57,47,121.3,5,1,32,0,0,-,0,7,0,4,27,WK
67,Imran Tahir,CSK,SA,2,2,100,0,0,2,124,188,9.1,6,2,0,6,39,Bowl
68,Ish Sodhi,RR,NZ,1,6,16.7,0,0,1,138,135,5.9,5,0,0,6,25,Bowl
69,Ishan Kishan,MI,IND,275,184,149.5,22,17,62,0,0,-,0,11,0.9,14,20,WK
70,Ishank Jaggi,KKR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,29,BAT
71,Jagadeesan Narayan,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22,WK
72,Jason Behrendorff,MI,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,28,Bowl
73,Jason Roy,DD,ENG,120,94,127.7,9,7,91,0,0,-,0,4,0,5,28,BAT
74,Jasprit Bumrah,MI,IND,10,11,90.9,1,0,6,324,372,6.9,17,4,0,14,24,Bowl
75,Jatin Saxena,RR,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,36,AR
76,Javon Searles,KKR,WI,8,6,133.3,0,1,6,42,89,12.7,2,4,0,4,31,AR
77,Jayant Yadav,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,28,AR
